"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\CheckIdentifer\route.ts", "TypeScript", 41, 0, 3, 44
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\accept-message\route.ts", "TypeScript", 0, 81, 9, 90
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\[...nextauth]\options.ts", "TypeScript", 68, 0, 1, 69
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 5, 0, 3, 8
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\checkEmail_InUse\route.ts", "TypeScript", 51, 0, 11, 62
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\email-for-verify\route.ts", "TypeScript", 48, 0, 3, 51
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\verify-code\route.ts", "TypeScript", 69, 1, 8, 78
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\check-username-uniqueness\route.ts", "TypeScript", 48, 0, 11, 59
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\resend_otp\route.ts", "TypeScript", 78, 0, 2, 80
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\sign-in\route.ts", "TypeScript", 0, 0, 1, 1
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\sign-up\route.ts", "TypeScript", 104, 9, 16, 129
"Total", "-", 512, 91, 68, 671
