"filename", "language", "TypeScript JSX", "TypeScript", "comment", "blank", "total"
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\(auth)\dashboard\page.tsx", "TypeScript JSX", 13, 0, 0, 1, 14
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\(auth)\settings\page.tsx", "TypeScript JSX", 7, 0, 0, 2, 9
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\(auth)\sign-in\page.tsx", "TypeScript JSX", 11, 0, 0, 2, 13
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\(auth)\sign-up\page.tsx", "TypeScript JSX", 267, 0, 11, 30, 308
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\(auth)\verify\page.tsx", "TypeScript JSX", 235, 0, 6, 30, 271
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\CheckIdentifer\route.ts", "TypeScript", 0, -41, 0, -3, -44
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\accept-message\route.ts", "TypeScript", 0, 0, -81, -9, -90
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\[...nextauth]\options.ts", "TypeScript", 0, -68, 0, -1, -69
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 0, -5, 0, -3, -8
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\checkEmail_InUse\route.ts", "TypeScript", 0, -51, 0, -11, -62
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\email-for-verify\route.ts", "TypeScript", 0, -48, 0, -3, -51
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\auth\verify-code\route.ts", "TypeScript", 0, -69, -1, -8, -78
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\check-username-uniqueness\route.ts", "TypeScript", 0, -48, 0, -11, -59
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\resend_otp\route.ts", "TypeScript", 0, -78, 0, -2, -80
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\sign-in\route.ts", "TypeScript", 0, 0, 0, -1, -1
"c:\Users\Shubhransh\Documents\Final Web Development\next-js\LearnNext-js\TypeScript\user-auth\src\app\api\sign-up\route.ts", "TypeScript", 0, -104, -9, -16, -129
"Total", "-", 533, -512, -74, -3, -56
